Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D201,1N4001,D_DO-41_SOD81_P10.16mm_Horizontal,47.0,-30.0,90.0,top
D202,1N4001,D_DO-41_SOD81_P10.16mm_Horizontal,50.51,-30.0,-90.0,top
D301,1N4001,D_DO-41_SOD81_P10.16mm_Horizontal,47.0,-45.0,90.0,top
D302,1N4001,D_DO-41_SOD81_P10.16mm_Horizontal,50.5,-45.01,-90.0,top
D401,1N4001,D_DO-41_SOD81_P10.16mm_Horizontal,47.02,-60.01,90.0,top
D402,1N4001,D_DO-41_SOD81_P10.16mm_Horizontal,50.51,-60.0,-90.0,top
D501,1N4001,D_DO-41_SOD81_P10.16mm_Horizontal,47.01,-75.01,90.0,top
D502,1N4001,D_DO-41_SOD81_P10.16mm_Horizontal,50.49,-75.0,-90.0,top
J201,Screw_Terminal_01x03,connector_3.50mm_3P horizontal_MALE,42.25,-30.0,-90.0,top
J202,Screw_Terminal_01x03,"PhoenixContact_MC_1,5_3-G-3.5_1x03_P3.50mm_Horizontal",71.5,-29.945,90.0,top
J301,Screw_Terminal_01x03,connector_3.50mm_3P horizontal_MALE,42.25,-45.055,-90.0,top
J302,Screw_Terminal_01x03,"PhoenixContact_MC_1,5_3-G-3.5_1x03_P3.50mm_Horizontal",71.5,-45.0,90.0,top
J401,Screw_Terminal_01x03,connector_3.50mm_3P horizontal_MALE,42.25,-60.055,-90.0,top
J402,Screw_Terminal_01x03,"PhoenixContact_MC_1,5_3-G-3.5_1x03_P3.50mm_Horizontal",71.5,-60.0,90.0,top
J501,Screw_Terminal_01x03,connector_3.50mm_3P horizontal_MALE,42.25,-75.055,-90.0,top
J502,Screw_Terminal_01x03,"PhoenixContact_MC_1,5_3-G-3.5_1x03_P3.50mm_Horizontal",71.5,-75.0,90.0,top
Q201,BD679,TO-126-3_Vertical,57.495,-31.625,180.0,top
Q202,BD679,TO-126-3_Vertical,57.495,-27.7,180.0,top
Q301,BD679,TO-126-3_Vertical,57.495,-46.68,180.0,top
Q302,BD679,TO-126-3_Vertical,57.495,-42.755,180.0,top
Q401,BD679,TO-126-3_Vertical,57.495,-61.68,180.0,top
Q402,BD679,TO-126-3_Vertical,57.495,-57.755,180.0,top
Q501,BD679,TO-126-3_Vertical,57.495,-76.68,180.0,top
Q502,BD679,TO-126-3_Vertical,57.495,-72.755,180.0,top
R201,22k,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,57.41,-35.0,180.0,top
R202,22k,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,57.81,-25.0,180.0,top
R301,22k,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,57.41,-50.055,180.0,top
R302,22k,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,57.81,-40.055,180.0,top
R401,22k,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,57.41,-65.055,180.0,top
R402,22k,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,57.81,-55.055,180.0,top
R501,22k,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,57.41,-80.055,180.0,top
R502,22k,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,57.81,-70.055,180.0,top
